beteckning,punkt,titel,S,M,SD,V,C,KD,MP,L
TU12,1,Cykelfrågor,Nej,Ja,Ja,Ja,Avstår,Ja,Avstår,Ja
TU12,3,Cykelfrågor,Ja,Ja,Avstår,Ja,Nej,Ja,Avstår,Ja
TU12,5,Cykelfrågor,Ja,Ja,Nej,Ja,Avstår,Ja,Avstår,Ja
TU13,1,Vägtrafik- och fordonsfrågor,Ja,Ja,Ja,Avstår,Nej,Ja,Avstår,Ja
TU13,5,Vägtrafik- och fordonsfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
TU13,8,Vägtrafik- och fordonsfrågor,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
TU13,11,Vägtrafik- och fordonsfrågor,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja
TU14,1,Luftfartsfrågor,Ja,Ja,Avstår,Ja,Nej,Ja,Avstår,Ja
TU14,3,Luftfartsfrågor,Nej,Ja,Avstår,Avstår,Ja,Ja,Avstår,Ja
TU14,7,Luftfartsfrågor,Nej,Ja,Avstår,Ja,Avstår,Ja,Avstår,Ja
TU14,13,Luftfartsfrågor,Ja,Ja,Ja,Ja,Avstår,Ja,Nej,Ja
TU16,6,Digitaliserings- och postfrågor,Avstår,Ja,Nej,Avstår,Ja,Ja,Avstår,Ja
TU16,7,Digitaliserings- och postfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Ja,Ja
TU16,9,Digitaliserings- och postfrågor,Avstår,Ja,Avstår,Ja,Nej,Ja,Avstår,Ja
TU17,2,Sjöfartsfrågor,Avstår,Ja,Nej,Avstår,Avstår,Ja,Ja,Ja
TU17,4,Sjöfartsfrågor,Nej,Ja,Avstår,Ja,Avstår,Ja,Ja,Ja
TU17,6,Sjöfartsfrågor,Ja,Ja,Avstår,Avstår,Nej,Ja,Ja,Ja
TU17,9,Sjöfartsfrågor,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Ja
TU17,10,Sjöfartsfrågor,Avstår,Ja,Ja,Nej,Ja,Ja,Avstår,Ja
TU18,1,Infrastrukturfrågor,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja
TU18,2,Infrastrukturfrågor,Nej,Ja,Ja,Nej,Avstår,Ja,Nej,Ja
TU18,5,Infrastrukturfrågor,Nej,Ja,Ja,Avstår,Avstår,Ja,Avstår,Ja
TU18,14,Infrastrukturfrågor,Avstår,Ja,Nej,Ja,Ja,Ja,Avstår,Ja
TU18,23,Infrastrukturfrågor,Nej,Ja,Ja,Ja,Ja,Ja,Nej,Ja
